Country Name,Country Code,Indicator Name,Indicator Code,Region,Income Group,Year,Value
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,Upper middle income,2015,74.87073170731709
Armenia,ARM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,Upper middle income,2015,25.0
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,Upper middle income,2015,12.8
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,Upper middle income,2015,14.7
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,High income,2015,
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,High income,2015,75.405
Aruba,ABW,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,High income,2015,
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,High income,2015,
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,High income,2015,
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,High income,2015,10.13642025
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,High income,2015,82.40000000000002
Australia,AUS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,East Asia & Pacific,High income,2015,6.0
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,East Asia & Pacific,High income,2015,3.3
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific,High income,2015,3.9
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,High income,2015,10.51688385
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,High income,2015,81.19024390243904
Austria,AUT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,High income,2015,7.0
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,High income,2015,3.1
Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,High income,2015,3.7
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,Upper middle income,2015,4.34131384
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,Upper middle income,2015,72.349
Azerbaijan,AZE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,Upper middle income,2015,21.0
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,Upper middle income,2015,21.1
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,Upper middle income,2015,27.9
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,High income,2015,5.244627
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,High income,2015,73.805
"Bahamas, The",BHS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,High income,2015,83.0
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,High income,2015,12.3
"Bahamas, The",BHS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,High income,2015,14.0
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa,High income,2015,4.75126362
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,High income,2015,80.338
Bahrain,BHR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Middle East & North Africa,High income,2015,16.0
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Middle East & North Africa,High income,2015,6.3
Bahrain,BHR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Middle East & North Africa,High income,2015,7.7
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia,Lower middle income,2015,2.27217698
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,Lower middle income,2015,70.543
Bangladesh,BGD,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,South Asia,Lower middle income,2015,204.0
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,South Asia,Lower middle income,2015,29.8
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Asia,Lower middle income,2015,38.5
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,High income,2015,6.09170628
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,High income,2015,76.055
Barbados,BRB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,High income,2015,37.0
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,High income,2015,11.7
Barbados,BRB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,High income,2015,12.8
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,Upper middle income,2015,6.06528044
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,Upper middle income,2015,73.62439024390245
Belarus,BLR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,Upper middle income,2015,1.0
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,Upper middle income,2015,3.1
Belarus,BLR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,Upper middle income,2015,4.1
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,High income,2015,10.88387299
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,High income,2015,80.99268292682929
Belgium,BEL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,High income,2015,5.0
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,High income,2015,3.4
Belgium,BEL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,High income,2015,4.1
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,Upper middle income,2015,4.65988731
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,Upper middle income,2015,71.647
Belize,BLZ,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,Upper middle income,2015,47.0
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,Upper middle income,2015,13.1
Belize,BLZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,Upper middle income,2015,15.6
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Lower middle income,2015,2.72813416
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Lower middle income,2015,59.123
Benin,BEN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Lower middle income,2015,606.0
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Lower middle income,2015,57.0
Benin,BEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Lower middle income,2015,96.1
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North America,High income,2015,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,High income,2015,80.338
Bermuda,BMU,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,North America,High income,2015,
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,North America,High income,2015,
Bermuda,BMU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,North America,High income,2015,
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia,Lower middle income,2015,3.43653083
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,Lower middle income,2015,70.797
Bhutan,BTN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,South Asia,Lower middle income,2015,68.0
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,South Asia,Lower middle income,2015,22.9
Bhutan,BTN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,South Asia,Lower middle income,2015,29.2
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,Lower middle income,2015,6.55064964
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,Lower middle income,2015,67.205
Bolivia,BOL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,Lower middle income,2015,166.0
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,Lower middle income,2015,23.5
Bolivia,BOL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,Lower middle income,2015,26.7
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,Upper middle income,2015,9.24086571
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,Upper middle income,2015,77.073
Bosnia and Herzegovina,BIH,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,Upper middle income,2015,7.0
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,Upper middle income,2015,5.9
